Auteur,nb_comments,nb_likes,texte,date,nb_partages,taux d'engagement
President Paul Biya,34 ,175.0,"🇨🇲🇮🇹 A la suite du bilan très élevé des victimes de l""effondrement du pont Morandi, survenu à Gênes en #Italie, j""adresse mes sincères condoléances à S.E. Sergio Mattarella, ainsi qu""aux familles des victimes et à la nation italienne endeuillée.","17 août, 20:40",36 ,
President Paul Biya,44 ,244.0,"🇨🇲🇪🇬 J’ai appris avec une réelle émotion, le décès du Professeur Samir Amin, survenu à #Paris. Je tiens, en cette douloureuse circonstance, à adresser mes sincères condoléances à S.E. Abdel Fattah Al-Sissi, à sa famille et à la nation égyptienne.","17 août, 14:32",53 ,
President Paul Biya,9 ,140.0,"🇨🇲🇮🇩 Il me plaît d’adresser mes vives et chaleureuses félicitations à S.E. Joko Widodo, à l""occasion de la célébration de la fête nationale de la République d""#Indonésie, le 17 août 2018.","17 août, 13:52",33 ,
President Paul Biya,5 ,82.0,"🇨🇲🇮🇩
Happy Independence Day celebrations to President Joko Widodo and the people of the Republic of Indonesia.
#PaulBiya
#Cameroon","17 août, 12:18",11 ,
President Paul Biya,4 ,80.0,"🇨🇲🇮🇹
I extend my heartfelt condolences to President Sergio Mattarella and the people of the Italian Republic over the loss of many lives in the tragic collapse of the Ponte Morandi in Genoa.
#PaulBiya
#Cameroon","17 août, 11:34",20 ,
President Paul Biya,18 ,273.0,"🇨🇲🇬🇦 Il m""est très agréable d’adresser mes vives et chaleureuses félicitations à S.E. Ali Bongo Ondimba, à l’occasion de la commémoration de la fête nationale de la République #Gabon-aise, le 17 août 2018.","16 août, 13:52",55 ,
President Paul Biya,104 ,459.0,Bonne Fête de l’Assomption !,"15 août, 11:18",33 ,
President Paul Biya,6 ,90.0,"Mr Patrick Kum Bong Akwa has been appointed, for a period of three years renewable once, as a member of the Board of Directors in the Cameroon Water Utilities Corporation (CAMWATER).
#PaulBiya
#Cameroon","14 août, 19:05",16 ,
President Paul Biya,65 ,"302
Michael Sandjong et 301 autres personnes","Monsieur Patrick Kum Bong Akwa est, à compter du 14 août 2018, nommé, pour une durée de trois (03) ans renouvelable une fois, membre du Conseil d""Administration de la Société Cameroon Water Utilities Corporation (CAMWATER).","14 août, 18:51",102 ,
President Paul Biya,17 ,248.0,"🇨🇲🇨🇬 J’adresse mes vives et chaleureuses félicitations à S.E. Denis Sassou Nguesso, ainsi que mes souhaits de paix, de concorde et de prospérité pour la Nation Congolaise qui célèbre sa fête nationale, le 15 août 2018.","14 août, 13:23",39 ,
President Paul Biya,11 ,97.0,"🇨🇲🇳🇪
My heartfelt condolences to President Mahamadou Issoufou and the people of the Republic of the Niger on the loss of lives and enormous devastation caused by floods.
#PaulBiya
#Cameroon","14 août, 12:15",19 ,
President Paul Biya,15 ,118.0,"Today, I signed a decree appointing Mr Wouamane Mbele as Government Delegate to the Bertoua City Council.
#PaulBiya
#Cameroon
#Cameroun","13 août, 20:28",16 ,
President Paul Biya,132 ,59.0,"Monsieur Wouamane Mbele est, à compter du 13 août 2018, nommé Délégué du Gouvernement auprès de la Communauté Urbaine de Bertoua.","13 août, 19:22",214 ,
President Paul Biya,157 ,733.0,"My wife and I left Yaounde this morning for a short private stay in Europe.
#PaulBiya
#Cameroon","12 août, 19:21",49 ,
President Paul Biya,"1,3 K ","4,1 K","J’ai quitté #Yaoundé ce dimanche 12 août 2018 en fin de matinée, en compagnie de mon épouse, pour un court séjour privé en Europe.","12 août, 19:08",631 ,
President Paul Biya,12 ,135.0,"🇨🇲🇹🇩
It gives me great pleasure to convey my sincere felicitations to President Idriss Deby Itno on the 58th anniversary of the Independence Day of the Republic of Chad.
I take this opportunity to sincerely wish you and your people peace, concord and progress.
#PaulBiya
#Cameroon","10 août, 17:36",17 ,
President Paul Biya,2 ,70.0,"🇨🇲🇧🇴
Happy Independence Day celebrations to President Juan Evo Morales Ayma and the people of the Plurinational State of Bolivia.
#PaulBiya
#Cameroon","10 août, 17:26",12 ,
President Paul Biya,,47.0,"🇨🇲🇧🇴
I warmly congratulate President Lenin Moreno and the people of Ecuador on the happy occasion of their Independence Day celebration.
#PaulBiya
#Cameroon","10 août, 17:15",9 ,
President Paul Biya,13 ,165.0,"🇨🇲🇸🇬 La célébration de la fête nationale de la République de #Singapour, m""offre l""heureuse opportunité d’adresser mes vives et chaleureuses félicitations à S.E. Halimah Yacob. J""y joins mes vœux de bonheur pour le peuple singapourien.","9 août, 18:57",30 ,
President Paul Biya,4 ,80.0,"🇨🇲🇸🇬
I convey my sincere felicitations to President Halimah Yacob and the people of Singapore on the happy occasion of their Independence Day celebration.","9 août, 18:47",15 ,
President Paul Biya,10 ,143.0,"🇨🇲🇮🇩 Suite au lourd bilan des victimes du violent séisme qui a dévasté l""île de Lombok en République d’#Indonésie, j’adresse mes sincères condoléances à S.E. Joko Widodo, ainsi qu""aux familles éplorées et à la nation indonésienne endeuillée.","8 août, 15:47",31 ,
President Paul Biya,22 ,187.0,"🇨🇲🇿🇼 Il m""est agréable d’adresser mes vives et chaleureuses félicitations à S.E. Emmerson Mnangagwa Dambudzo, suite à son élection à la magistrature suprême de la République du #Zimbabwe, ainsi que pour la victoire de la ZANU-PF aux législatives.","8 août, 14:53",23 ,
President Paul Biya,7 ,103.0,"🇨🇲🇿🇼
My sincere congratulations to His Excellency Emmerson Mnangagwa on his election as President of the Republic of Zimbabwe.","8 août, 11:31",18 ,
President Paul Biya,7 ,180.0,"🇨🇲🇪🇸
Farewell audience to H.E. Jorge De Orueta Pemartin – the outgoing Spanish Ambassador to Cameroon.","7 août, 21:04",24 ,
President Paul Biya,15 ,396.0,"🇨🇲🇪🇸 Entretien au Palais de l’Unité, le 7 août 2018, avec S.E. Jorge De Orueta Pemartin, Ambassadeur du Royaume d’Espagne au #Cameroun, arrivé en fin de séjour.","7 août, 20:52",47 ,
President Paul Biya,12 ,157.0,"🇨🇲🇨🇮 J’ai le réel plaisir, au moment où la République de Côte d""Ivoire commémore sa fête nationale, d’adresser mes vives et chaleureuses félicitations à S.E. Alassane Ouattara.","7 août, 18:51",32 ,
President Paul Biya,18 ,204.0,Décret portant organisation du Ministère de la Décentralisation et du Développement Local.,"7 août, 17:54",97 ,
President Paul Biya,5 ,120.0,"Décret portant ratification de la Convention entre la République du #Cameroun et la Fédération de #Russie relative au transfèrement des personnes condamnées à des peines privatives de liberté, signée le 28 mai 2015 à Saint-Pétersbourg.","7 août, 17:10",35 ,
President Paul Biya,3 ,167.0,"Décret portant ratification de l""Accord de coopération entre le Gouvernement de la République du #Cameroun et le Gouvernement de la République Fédérale du #Nigéria sur la non-prolifération des armes légères et de petit calibre, signé le 06 février 2018 à #Abuja.","7 août, 17:03",60 ,
President Paul Biya,5 ,143.0,"Décret portant acceptation de l""Amendement à l""article 8 de la Convention Internationale sur l""élimination de toutes les formes de discrimination raciale, adopté à New-York le 15 janvier 1992.","7 août, 16:51",53 ,
President Paul Biya,1 ,117.0,"Décret portant ratification de la Convention entre la République du #Cameroun et la Fédération de #Russie sur l""extradition, signée le 28 mai 2015 à Saint-Pétersbourg.","7 août, 16:44",27 ,
President Paul Biya,11 ,103.0,"🇨🇲🇨🇮
A great pleasure to extend my sincere and heartfelt congratulations to President Alassane Ouattara and all Ivoirians as they commemorate the 58th National Day of the Republic of Côte d""Ivoire.
#PaulBiya
#Cameroon
#Cameroun","7 août, 11:36",15 ,
President Paul Biya,4 ,118.0,"🇨🇲🇷🇺
Decree to ratify the convention between the Republic of Cameroon and the Russian Federation on the transfer of persons sentenced to deprivation of liberty, signed on 28 May 2015 in Saint Petersburg.
#PaulBiya
#Cameroon",6 août,29 ,
President Paul Biya,5 ,108.0,"Decree to accept the amendment to Article 8 of the international convention on the elimination of all forms of racial discrimination, signed on 15 January 1992 in New York.
#PaulBiya
#Cameroon",6 août,30 ,
President Paul Biya,1 ,100.0,"🇨🇲🇷🇺
Decree to ratify the convention between the Republic of Cameroon and the Russian Federation on extradition, signed on 28 May 2015 in Saint Petersburg.
#PaulBiya
#Cameroon",6 août,15 ,
